192.168.65.1 - - [09/Apr/2025:21:01:59 +0000] "GET / HTTP/1.1" 200 27 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Safari/605.1.15" "-"
172.18.0.6 - - [09/Apr/2025:21:35:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:35:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:36:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:36:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:36:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:36:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:37:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:37:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:37:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:37:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:38:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:38:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:38:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:38:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:39:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:39:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:39:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:39:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:40:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:40:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:40:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:40:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:41:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:41:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:41:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:41:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:42:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:42:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:42:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:42:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:43:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:43:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:43:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:43:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:44:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:44:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:44:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:44:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:45:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:45:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:45:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:45:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:46:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:46:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:46:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:46:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:47:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:47:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:47:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:47:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:48:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:48:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:48:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:48:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:49:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:49:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:49:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:49:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:50:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:50:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:50:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:50:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:51:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:51:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:51:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:51:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:52:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:52:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:52:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:52:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:53:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:53:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:53:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:53:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:54:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:54:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:54:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:54:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:55:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:55:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:55:30 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:55:45 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:56:00 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
172.18.0.6 - - [09/Apr/2025:21:56:15 +0000] "GET /metrics HTTP/1.1" 404 153 "-" "Prometheus/2.53.4" "-"
